wort,kategorie,genus,artikel,plural,englisch,basisform,praeteritum,partizip_ii,hinweis
AutoBahnhof,Substantiv,m,der,AutoBahnhöfe,,,,,Zusammensetzung aus 'Auto' + 'Bahnhof'
AutoFlughafen,Substantiv,m,der,AutoFlughäfen,,,,,Zusammensetzung aus 'Auto' + 'Flughafen'
AutoKarte,Substantiv,f,die,AutoKarten,,,,,Zusammensetzung aus 'Auto' + 'Karte'
AutoPreis,Substantiv,m,der,AutoPreise,,,,,Zusammensetzung aus 'Auto' + 'Preis'
AutoPark,Substantiv,m,der,AutoParks,,,,,Zusammensetzung aus 'Auto' + 'Park'
AutoPlatz,Substantiv,m,der,AutoPlätze,,,,,Zusammensetzung aus 'Auto' + 'Platz'
AutoStraße,Substantiv,f,die,AutoStraßen,,,,,Zusammensetzung aus 'Auto' + 'Straße'
AutoBrücke,Substantiv,f,die,AutoBrücken,,,,,Zusammensetzung aus 'Auto' + 'Brücke'
AutoTunnel,Substantiv,m,der,AutoTunnel,,,,,Zusammensetzung aus 'Auto' + 'Tunnel'
AutoZentrum,Substantiv,n,das,AutoZentren,,,,,Zusammensetzung aus 'Auto' + 'Zentrum'
AutoHaus,Substantiv,n,das,AutoHäuser,,,,,Zusammensetzung aus 'Auto' + 'Haus'
AutoWerk,Substantiv,n,das,AutoWerke,,,,,Zusammensetzung aus 'Auto' + 'Werk'
AutoTicket,Substantiv,n,das,AutoTickets,,,,,Zusammensetzung aus 'Auto' + 'Ticket'
AutoStation,Substantiv,f,die,AutoStationen,,,,,Zusammensetzung aus 'Auto' + 'Station'
AutoLeitung,Substantiv,f,die,AutoLeitungen,,,,,Zusammensetzung aus 'Auto' + 'Leitung'
AutoLeiter,Substantiv,m,der,AutoLeiter,,,,,Zusammensetzung aus 'Auto' + 'Leiter'
AutoLeuchte,Substantiv,f,die,AutoLeuchten,,,,,Zusammensetzung aus 'Auto' + 'Leuchte'
AutoSchalter,Substantiv,m,der,AutoSchalter,,,,,Zusammensetzung aus 'Auto' + 'Schalter'
AutoSensor,Substantiv,m,der,AutoSensoren,,,,,Zusammensetzung aus 'Auto' + 'Sensor'
AutoAktuator,Substantiv,m,der,AutoAktuatoren,,,,,Zusammensetzung aus 'Auto' + 'Aktuator'
StadtTür,Substantiv,f,die,StadtTüren,,,,,Zusammensetzung aus 'Stadt' + 'Tür'
StadtDach,Substantiv,n,das,StadtDächer,,,,,Zusammensetzung aus 'Stadt' + 'Dach'
StadtWand,Substantiv,f,die,StadtWände,,,,,Zusammensetzung aus 'Stadt' + 'Wand'
StadtFenster,Substantiv,n,das,StadtFenster,,,,,Zusammensetzung aus 'Stadt' + 'Fenster'
StadtBoden,Substantiv,m,der,StadtBöden,,,,,Zusammensetzung aus 'Stadt' + 'Boden'
StadtPlan,Substantiv,m,der,StadtPläne,,,,,Zusammensetzung aus 'Stadt' + 'Plan'
StadtListe,Substantiv,f,die,StadtListen,,,,,Zusammensetzung aus 'Stadt' + 'Liste'
StadtBuch,Substantiv,n,das,StadtBücher,,,,,Zusammensetzung aus 'Stadt' + 'Buch'
StadtSeite,Substantiv,f,die,StadtSeiten,,,,,Zusammensetzung aus 'Stadt' + 'Seite'
StadtNummer,Substantiv,f,die,StadtNummern,,,,,Zusammensetzung aus 'Stadt' + 'Nummer'
StadtFehler,Substantiv,m,der,StadtFehler,,,,,Zusammensetzung aus 'Stadt' + 'Fehler'
StadtServer,Substantiv,m,der,StadtServer,,,,,Zusammensetzung aus 'Stadt' + 'Server'
StadtClient,Substantiv,m,der,StadtClients,,,,,Zusammensetzung aus 'Stadt' + 'Client'
StadtVertrag,Substantiv,m,der,StadtVerträge,,,,,Zusammensetzung aus 'Stadt' + 'Vertrag'
StadtGesetz,Substantiv,n,das,StadtGesetze,,,,,Zusammensetzung aus 'Stadt' + 'Gesetz'
StadtPrüfung,Substantiv,f,die,StadtPrüfungen,,,,,Zusammensetzung aus 'Stadt' + 'Prüfung'
StadtReise,Substantiv,f,die,StadtReisen,,,,,Zusammensetzung aus 'Stadt' + 'Reise'
StadtHafen,Substantiv,m,der,StadtHäfen,,,,,Zusammensetzung aus 'Stadt' + 'Hafen'
StadtBahnhof,Substantiv,m,der,StadtBahnhöfe,,,,,Zusammensetzung aus 'Stadt' + 'Bahnhof'
StadtFlughafen,Substantiv,m,der,StadtFlughäfen,,,,,Zusammensetzung aus 'Stadt' + 'Flughafen'
StadtKarte,Substantiv,f,die,StadtKarten,,,,,Zusammensetzung aus 'Stadt' + 'Karte'
StadtPreis,Substantiv,m,der,StadtPreise,,,,,Zusammensetzung aus 'Stadt' + 'Preis'
StadtPark,Substantiv,m,der,StadtParks,,,,,Zusammensetzung aus 'Stadt' + 'Park'
StadtPlatz,Substantiv,m,der,StadtPlätze,,,,,Zusammensetzung aus 'Stadt' + 'Platz'
StadtStraße,Substantiv,f,die,StadtStraßen,,,,,Zusammensetzung aus 'Stadt' + 'Straße'
StadtBrücke,Substantiv,f,die,StadtBrücken,,,,,Zusammensetzung aus 'Stadt' + 'Brücke'
StadtTunnel,Substantiv,m,der,StadtTunnel,,,,,Zusammensetzung aus 'Stadt' + 'Tunnel'
StadtZentrum,Substantiv,n,das,StadtZentren,,,,,Zusammensetzung aus 'Stadt' + 'Zentrum'
StadtHaus,Substantiv,n,das,StadtHäuser,,,,,Zusammensetzung aus 'Stadt' + 'Haus'
StadtWerk,Substantiv,n,das,StadtWerke,,,,,Zusammensetzung aus 'Stadt' + 'Werk'
StadtTicket,Substantiv,n,das,StadtTickets,,,,,Zusammensetzung aus 'Stadt' + 'Ticket'
StadtStation,Substantiv,f,die,StadtStationen,,,,,Zusammensetzung aus 'Stadt' + 'Station'
StadtLeitung,Substantiv,f,die,StadtLeitungen,,,,,Zusammensetzung aus 'Stadt' + 'Leitung'
StadtLeiter,Substantiv,m,der,StadtLeiter,,,,,Zusammensetzung aus 'Stadt' + 'Leiter'
StadtLeuchte,Substantiv,f,die,StadtLeuchten,,,,,Zusammensetzung aus 'Stadt' + 'Leuchte'
StadtSchalter,Substantiv,m,der,StadtSchalter,,,,,Zusammensetzung aus 'Stadt' + 'Schalter'
StadtSensor,Substantiv,m,der,StadtSensoren,,,,,Zusammensetzung aus 'Stadt' + 'Sensor'
StadtAktuator,Substantiv,m,der,StadtAktuatoren,,,,,Zusammensetzung aus 'Stadt' + 'Aktuator'
SchulTür,Substantiv,f,die,SchulTüren,,,,,Zusammensetzung aus 'Schul' + 'Tür'
SchulDach,Substantiv,n,das,SchulDächer,,,,,Zusammensetzung aus 'Schul' + 'Dach'
SchulWand,Substantiv,f,die,SchulWände,,,,,Zusammensetzung aus 'Schul' + 'Wand'
SchulFenster,Substantiv,n,das,SchulFenster,,,,,Zusammensetzung aus 'Schul' + 'Fenster'
SchulBoden,Substantiv,m,der,SchulBöden,,,,,Zusammensetzung aus 'Schul' + 'Boden'
SchulPlan,Substantiv,m,der,SchulPläne,,,,,Zusammensetzung aus 'Schul' + 'Plan'
SchulListe,Substantiv,f,die,SchulListen,,,,,Zusammensetzung aus 'Schul' + 'Liste'
SchulBuch,Substantiv,n,das,SchulBücher,,,,,Zusammensetzung aus 'Schul' + 'Buch'
SchulSeite,Substantiv,f,die,SchulSeiten,,,,,Zusammensetzung aus 'Schul' + 'Seite'
SchulNummer,Substantiv,f,die,SchulNummern,,,,,Zusammensetzung aus 'Schul' + 'Nummer'
SchulFehler,Substantiv,m,der,SchulFehler,,,,,Zusammensetzung aus 'Schul' + 'Fehler'
SchulServer,Substantiv,m,der,SchulServer,,,,,Zusammensetzung aus 'Schul' + 'Server'
SchulClient,Substantiv,m,der,SchulClients,,,,,Zusammensetzung aus 'Schul' + 'Client'
SchulVertrag,Substantiv,m,der,SchulVerträge,,,,,Zusammensetzung aus 'Schul' + 'Vertrag'
SchulGesetz,Substantiv,n,das,SchulGesetze,,,,,Zusammensetzung aus 'Schul' + 'Gesetz'
SchulPrüfung,Substantiv,f,die,SchulPrüfungen,,,,,Zusammensetzung aus 'Schul' + 'Prüfung'
SchulReise,Substantiv,f,die,SchulReisen,,,,,Zusammensetzung aus 'Schul' + 'Reise'
SchulHafen,Substantiv,m,der,SchulHäfen,,,,,Zusammensetzung aus 'Schul' + 'Hafen'
SchulBahnhof,Substantiv,m,der,SchulBahnhöfe,,,,,Zusammensetzung aus 'Schul' + 'Bahnhof'
SchulFlughafen,Substantiv,m,der,SchulFlughäfen,,,,,Zusammensetzung aus 'Schul' + 'Flughafen'
SchulKarte,Substantiv,f,die,SchulKarten,,,,,Zusammensetzung aus 'Schul' + 'Karte'
SchulPreis,Substantiv,m,der,SchulPreise,,,,,Zusammensetzung aus 'Schul' + 'Preis'
SchulPark,Substantiv,m,der,SchulParks,,,,,Zusammensetzung aus 'Schul' + 'Park'
SchulPlatz,Substantiv,m,der,SchulPlätze,,,,,Zusammensetzung aus 'Schul' + 'Platz'
SchulStraße,Substantiv,f,die,SchulStraßen,,,,,Zusammensetzung aus 'Schul' + 'Straße'
SchulBrücke,Substantiv,f,die,SchulBrücken,,,,,Zusammensetzung aus 'Schul' + 'Brücke'
SchulTunnel,Substantiv,m,der,SchulTunnel,,,,,Zusammensetzung aus 'Schul' + 'Tunnel'
SchulZentrum,Substantiv,n,das,SchulZentren,,,,,Zusammensetzung aus 'Schul' + 'Zentrum'
SchulHaus,Substantiv,n,das,SchulHäuser,,,,,Zusammensetzung aus 'Schul' + 'Haus'
SchulWerk,Substantiv,n,das,SchulWerke,,,,,Zusammensetzung aus 'Schul' + 'Werk'
SchulTicket,Substantiv,n,das,SchulTickets,,,,,Zusammensetzung aus 'Schul' + 'Ticket'
SchulStation,Substantiv,f,die,SchulStationen,,,,,Zusammensetzung aus 'Schul' + 'Station'
SchulLeitung,Substantiv,f,die,SchulLeitungen,,,,,Zusammensetzung aus 'Schul' + 'Leitung'
SchulLeiter,Substantiv,m,der,SchulLeiter,,,,,Zusammensetzung aus 'Schul' + 'Leiter'
SchulLeuchte,Substantiv,f,die,SchulLeuchten,,,,,Zusammensetzung aus 'Schul' + 'Leuchte'
SchulSchalter,Substantiv,m,der,SchulSchalter,,,,,Zusammensetzung aus 'Schul' + 'Schalter'
SchulSensor,Substantiv,m,der,SchulSensoren,,,,,Zusammensetzung aus 'Schul' + 'Sensor'
SchulAktuator,Substantiv,m,der,SchulAktuatoren,,,,,Zusammensetzung aus 'Schul' + 'Aktuator'
ArbeitsTür,Substantiv,f,die,ArbeitsTüren,,,,,Zusammensetzung aus 'Arbeits' + 'Tür'
ArbeitsDach,Substantiv,n,das,ArbeitsDächer,,,,,Zusammensetzung aus 'Arbeits' + 'Dach'
ArbeitsWand,Substantiv,f,die,ArbeitsWände,,,,,Zusammensetzung aus 'Arbeits' + 'Wand'
ArbeitsFenster,Substantiv,n,das,ArbeitsFenster,,,,,Zusammensetzung aus 'Arbeits' + 'Fenster'
ArbeitsBoden,Substantiv,m,der,ArbeitsBöden,,,,,Zusammensetzung aus 'Arbeits' + 'Boden'
ArbeitsPlan,Substantiv,m,der,ArbeitsPläne,,,,,Zusammensetzung aus 'Arbeits' + 'Plan'
ArbeitsListe,Substantiv,f,die,ArbeitsListen,,,,,Zusammensetzung aus 'Arbeits' + 'Liste'
ArbeitsBuch,Substantiv,n,das,ArbeitsBücher,,,,,Zusammensetzung aus 'Arbeits' + 'Buch'
ArbeitsSeite,Substantiv,f,die,ArbeitsSeiten,,,,,Zusammensetzung aus 'Arbeits' + 'Seite'
ArbeitsNummer,Substantiv,f,die,ArbeitsNummern,,,,,Zusammensetzung aus 'Arbeits' + 'Nummer'
ArbeitsFehler,Substantiv,m,der,ArbeitsFehler,,,,,Zusammensetzung aus 'Arbeits' + 'Fehler'
ArbeitsServer,Substantiv,m,der,ArbeitsServer,,,,,Zusammensetzung aus 'Arbeits' + 'Server'
ArbeitsClient,Substantiv,m,der,ArbeitsClients,,,,,Zusammensetzung aus 'Arbeits' + 'Client'
ArbeitsVertrag,Substantiv,m,der,ArbeitsVerträge,,,,,Zusammensetzung aus 'Arbeits' + 'Vertrag'
ArbeitsGesetz,Substantiv,n,das,ArbeitsGesetze,,,,,Zusammensetzung aus 'Arbeits' + 'Gesetz'
ArbeitsPrüfung,Substantiv,f,die,ArbeitsPrüfungen,,,,,Zusammensetzung aus 'Arbeits' + 'Prüfung'
ArbeitsReise,Substantiv,f,die,ArbeitsReisen,,,,,Zusammensetzung aus 'Arbeits' + 'Reise'
ArbeitsHafen,Substantiv,m,der,ArbeitsHäfen,,,,,Zusammensetzung aus 'Arbeits' + 'Hafen'
ArbeitsBahnhof,Substantiv,m,der,ArbeitsBahnhöfe,,,,,Zusammensetzung aus 'Arbeits' + 'Bahnhof'
ArbeitsFlughafen,Substantiv,m,der,ArbeitsFlughäfen,,,,,Zusammensetzung aus 'Arbeits' + 'Flughafen'
ArbeitsKarte,Substantiv,f,die,ArbeitsKarten,,,,,Zusammensetzung aus 'Arbeits' + 'Karte'
ArbeitsPreis,Substantiv,m,der,ArbeitsPreise,,,,,Zusammensetzung aus 'Arbeits' + 'Preis'
ArbeitsPark,Substantiv,m,der,ArbeitsParks,,,,,Zusammensetzung aus 'Arbeits' + 'Park'
ArbeitsPlatz,Substantiv,m,der,ArbeitsPlätze,,,,,Zusammensetzung aus 'Arbeits' + 'Platz'
ArbeitsStraße,Substantiv,f,die,ArbeitsStraßen,,,,,Zusammensetzung aus 'Arbeits' + 'Straße'
ArbeitsBrücke,Substantiv,f,die,ArbeitsBrücken,,,,,Zusammensetzung aus 'Arbeits' + 'Brücke'
ArbeitsTunnel,Substantiv,m,der,ArbeitsTunnel,,,,,Zusammensetzung aus 'Arbeits' + 'Tunnel'
ArbeitsZentrum,Substantiv,n,das,ArbeitsZentren,,,,,Zusammensetzung aus 'Arbeits' + 'Zentrum'
ArbeitsHaus,Substantiv,n,das,ArbeitsHäuser,,,,,Zusammensetzung aus 'Arbeits' + 'Haus'
ArbeitsWerk,Substantiv,n,das,ArbeitsWerke,,,,,Zusammensetzung aus 'Arbeits' + 'Werk'
ArbeitsTicket,Substantiv,n,das,ArbeitsTickets,,,,,Zusammensetzung aus 'Arbeits' + 'Ticket'
ArbeitsStation,Substantiv,f,die,ArbeitsStationen,,,,,Zusammensetzung aus 'Arbeits' + 'Station'
ArbeitsLeitung,Substantiv,f,die,ArbeitsLeitungen,,,,,Zusammensetzung aus 'Arbeits' + 'Leitung'
ArbeitsLeiter,Substantiv,m,der,ArbeitsLeiter,,,,,Zusammensetzung aus 'Arbeits' + 'Leiter'
ArbeitsLeuchte,Substantiv,f,die,ArbeitsLeuchten,,,,,Zusammensetzung aus 'Arbeits' + 'Leuchte'
ArbeitsSchalter,Substantiv,m,der,ArbeitsSchalter,,,,,Zusammensetzung aus 'Arbeits' + 'Schalter'
ArbeitsSensor,Substantiv,m,der,ArbeitsSensoren,,,,,Zusammensetzung aus 'Arbeits' + 'Sensor'
ArbeitsAktuator,Substantiv,m,der,ArbeitsAktuatoren,,,,,Zusammensetzung aus 'Arbeits' + 'Aktuator'
KinderTür,Substantiv,f,die,KinderTüren,,,,,Zusammensetzung aus 'Kinder' + 'Tür'
KinderDach,Substantiv,n,das,KinderDächer,,,,,Zusammensetzung aus 'Kinder' + 'Dach'
